OBJECTID,Walkscore,POI,households,District,Population,2024MediumHouseholdIncome,2024PerCapitaIncome,POINT_X,POINT_Y
1,3.5,0,22,11,51,79776,27131,2191765.243,1327112.315
2,0,0,0,12,0,0,0,2215496.969,1327112.315
3,0.5,0,0,12,0,0,0,2220243.314,1327112.315
4,5,2,57,12,155,69974,37017,2224989.659,1327112.315
5,7.1,7,8,12,33,29226,12080,2229736.004,1327112.315
6,5.2,6,70,12,240,47325,17024,2234482.349,1327112.315
7,7.2,8,436,12,1164,43631,20774,2239228.694,1327112.315
8,1.9,0,431,11,771,33133,33884,2184645.726,1331222.77
9,13.1,14,766,11,1854,89947,50595,2189392.071,1331222.77
10,23.6,19,1520,11,2436,69030,43457,2194138.416,1331222.77
11,11.6,8,168,12,383,82548,53412,2217870.141,1331222.77
12,12.2,8,330,12,889,83133,36637,2227362.831,1331222.77
13,8.5,12,178,12,500,32824,14699,2232109.176,1331222.77
14,4.1,6,130,12,338,104649,33935,2236855.521,1331222.77
15,3.3,0,248,12,678,57486,24334,2241601.866,1331222.77
16,1.1,0,360,11,682,41805,41478,2182272.553,1335333.226
17,1,3,22,11,57,30973,26925,2187018.899,1335333.226
18,10.5,19,858,11,2297,100443,51840,2191765.243,1335333.226
19,15.3,12,986,11,2410,49630,31499,2196511.589,1335333.226
20,7.5,0,810,12,1904,49017,24694,2220243.314,1335333.226
21,12.8,8,1164,12,3039,74147,36537,2224989.659,1335333.226
22,13.6,8,1374,12,3440,43706,21432,2229736.004,1335333.226
23,7.2,18,181,12,565,20821,15546,2234482.349,1335333.226
24,2.9,8,153,12,486,104765,34250,2239228.694,1335333.226
25,2.8,0,359,11,878,108190,64421,2179899.381,1339443.681
26,4,9,357,11,902,60562,28304,2184645.726,1339443.681
27,2.7,1,137,11,271,70937,34683,2189392.071,1339443.681
28,12.8,15,1501,11,2783,43311,27659,2194138.416,1339443.681
29,18.7,32,925,11,1981,48025,32508,2198884.761,1339443.681
30,23.2,45,885,12,2194,27701,18185,2222616.486,1339443.681
31,18.6,25,785,12,1984,36690,24695,2227362.831,1339443.681
32,8.9,13,961,1,2350,40056,19593,2232109.176,1339443.681
33,11.7,10,540,1,1388,40165,18689,2236855.521,1339443.681
34,1.2,0,50,1,115,76102,16588,2241601.866,1339443.681
35,5.5,6,515,11,1372,62062,29989,2182272.553,1343554.136
36,7.8,17,612,11,1376,59813,30632,2187018.899,1343554.136
37,24.2,39,703,11,1670,58105,29072,2191765.243,1343554.136
38,20.5,39,709,11,1726,53412,30505,2196511.589,1343554.136
39,7.4,9,492,11,1317,73325,38171,2201257.934,1343554.136
40,5.1,0,637,11,1498,63395,34163,2206004.279,1343554.136
41,8.7,0,661,11,1646,44464,31006,2210750.624,1343554.136
42,4.9,0,529,12,1074,60458,35403,2215496.969,1343554.136
43,17.3,21,700,12,1397,41900,32684,2220243.314,1343554.136
44,23.5,27,453,12,1046,38870,26648,2224989.659,1343554.136
45,8.2,23,478,1,1259,43749,20735,2229736.004,1343554.136
46,12.1,24,556,1,1556,57091,27413,2234482.349,1343554.136
47,16,38,630,1,1859,34260,17669,2239228.694,1343554.136
48,3.5,0,662,11,1593,105143,60432,2179899.381,1347664.592
49,7.4,14,262,11,756,44209,29601,2184645.726,1347664.592
50,2.1,0,324,11,905,61571,31118,2189392.071,1347664.592
51,7.7,14,435,11,1084,66207,42914,2194138.416,1347664.592
52,20.3,20,1033,11,2547,67986,50789,2198884.761,1347664.592
53,9.9,18,573,11,1307,32526,24663,2203631.106,1347664.592
