OBJECTID,OBJECTID_1,WalkScore_FinalWeighted,landuseMix,Intersections,POI,Sidewalks,householdtotals_TOTHH_CY,District,HistoricalPopulation_TOTPOP_CY,householdincome_MEDHINC_CY,householdincome_PCI_CY,householdincome_GINI_CY,educationalattainment_BACHDEG_CY,sports_MP33006a_B,sports_MP33030a_B,urbanicity_UPOP01,urbanicity_UPOP04,urbanicity_UPOP08,crime_CRMCYTOTC,transportation_X6001_X,Policy_MEDVAL_CY,ORIG_FID,POINT_X,POINT_Y
1,1,3.5,1,0,0,68,22,11,51,79776,27131,37.4,11,5,15,0,49,0,289,179866,268750,1,2191765.243,1327112.315
2,2,0,1,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2215496.969,1327112.315
3,3,0.5,1,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2220243.314,1327112.315
4,4,5,2,63,2,39,57,12,155,69974,37017,37.2,14,10,31,0,155,0,459,520982,312500,4,2224989.659,1327112.315
5,5,7.1,8,24,7,96,8,12,33,29226,12080,40.3,1,2,5,0,0,0,458,34320,100000,5,2229736.004,1327112.315
6,6,5.2,8,15,6,65,70,12,240,47325,17024,28.3,0,13,44,0,237,0,277,366479,68750,6,2234482.349,1327112.315
7,7,7.2,6,25,8,63,436,12,1164,43631,20774,39.3,102,62,211,0,1148,0,179,2742812,135000,7,2239228.694,1327112.315
8,8,1.9,1,4,0,7,431,11,771,33133,33884,44.8,124,64,150,1,53,0,218,2232560,372222,8,2184645.726,1331222.77
9,9,13.1,10,74,14,96,766,11,1854,89947,50595,32.8,588,122,390,7,980,0,221,10091598,328972,9,2189392.071,1331222.77
10,10,23.6,2,4,19,287,1520,11,2436,69030,43457,35.6,575,155,515,0,1635,0,338,12797082,230556,10,2194138.416,1331222.77
11,11,11.6,1,9,8,180,168,12,383,82548,53412,35.3,36,35,100,0,379,0,718,1928865,293125,11,2217870.141,1331222.77
12,12,12.2,5,103,8,107,330,12,889,83133,36637,32.5,75,70,219,0,889,0,380,3066674,275439,12,2227362.831,1331222.77
13,13,8.5,11,47,12,74,178,12,500,32824,14699,41.9,29,25,76,0,209,0,360,754857,135000,13,2232109.176,1331222.77
14,14,4.1,12,41,6,19,130,12,338,104649,33935,20.9,16,17,72,0,301,0,268,1296506,230500,14,2236855.521,1331222.77
15,15,3.3,4,8,0,43,248,12,678,57486,24334,36.6,100,39,133,0,665,0,224,1793863,194444,15,2241601.866,1331222.77
16,16,1.1,1,0,0,0,360,11,682,41805,41478,48.3,145,59,154,0,272,0,160,2622887,356897,16,2182272.553,1335333.226
17,17,1,9,8,3,2,22,11,57,30973,26925,40.3,8,5,11,0,0,0,182,92956,0,17,2187018.899,1335333.226
18,18,10.5,7,70,19,23,858,11,2297,100443,51840,34.8,386,149,490,0,2003,0,203,12107060,333923,18,2191765.243,1335333.226
